statement,source,veracity,date,lemmas
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,0,2018-07-03,kamala harris support animal
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,1,2018-07-03,ronald reagan immigrant bring courage value family work freedom let pledge america great
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,0,2018-07-03,democratic senators demand supreme court nominee unduly influence constitution
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,0,2018-07-03,tim kaine want border want rid immigration customs enforcement basically border patrol
"""George H.W. Bush has died at 94.""",Bloggers,0,2018-07-02,george bush die
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,0,2018-07-02,deficit come come rapidly
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,0,2018-07-02,watch gdp number start low number right hit percent think possible
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,0,2018-07-02,european union send mercedes send million bmws car million
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,0,2018-07-02,clinton campaign official arrest fbi child rape trafficking charge
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,0,2018-07-02,court find percent file asylum qualified merit relief
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,0,2018-07-02,progressive income tax proposal democratic governor candidate pritzker wholly regressive
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,0,2018-06-29,wisconsin win republican dwight eisenhower i win wisconsin ronald reagan remember wisconsin state ronald reagan win
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,0,2018-06-29,maxine waters getting criminally charge
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,0,2018-06-29,ron desantis vote agricultural bill food stamp illegal immigrant
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,1,2018-06-29,adam putnam endorse schumer obama gang immigration amnesty
"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",Rachel Maddow,1,2018-06-29,system reunite family separate trump zero tolerance border policy
"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",Bloggers,0,2018-06-29,dunkin donut provide free ḍozen doughnut box celebrate anniversary
