statement,veracity,light_normalization,full_normalization
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",0,"sen. kamala harris is ""supporting the animals of ms-13.""",sen kamala harris support animal
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",1,"says ronald reagan said immigrants ""brought with them courage and the values of family, work, and freedom. let us pledge to each other that we can make america great again.""",ronald reagan immigrant bring courage value family work freedom let pledge america great
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",0,"says democratic senators ""demand supreme court nominee not be unduly influenced by u.s. constitution.""",democratic senator demand supreme court nominee unduly influence constitution
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",0,"""tim kaine doesnt want a border at all. he wants to get rid of immigration and customs enforcement and basically the border patrol as well.""",tim kaine want border want rid immigration custom enforcement basically border patrol
"""George H.W. Bush has died at 94.""",0,"""george h.w. bush has died at 94.""",george bush die
"""The deficit ... is coming down, and it’s coming down rapidly.""",0,"""the deficit ... is coming down, and its coming down rapidly.""",deficit come come rapidly
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",0,"""watch those gdp numbers. we started off at a very low number, and right now we hit a 3.2 (percent). nobody thought that was possible.""",watch gdp number start low number right hit percent think possible
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",0,"""the european union ... they send us mercedes, they send us -- by the millions -- the bmws -- cars by the millions.""",european union send mercede send million bmw car million
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",0,"""clinton campaign official arrested by fbi on child rape/trafficking charges""",clinton campaign official arrest fbi child rape trafficking charge
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",0,"""our courts find that 80 percent of those who do file for asylum arent qualified for it, do not merit that relief.""",court find percent file asylum qualified merit relief
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",0,"says a progressive income tax proposal from democratic governor candidate j.b. pritzker ""is wholly regressive.""",progressive income tax proposal democratic governor candidate pritzker wholly regressive
